stockid,year,catch,BdivBmsy,FdivFmsy
BIGEYECWPAC,1969,35832,2.66,0.0702
BIGEYECWPAC,1970,41085,2.58,0.0942
BIGEYECWPAC,1971,42581,2.56,0.0992
BIGEYECWPAC,1972,55457,2.54,0.116
BIGEYECWPAC,1973,46762,2.37,0.105
BIGEYECWPAC,1974,48892,2.35,0.128
BIGEYECWPAC,1975,65449,2.36,0.136
BIGEYECWPAC,1976,78299,2.32,0.137
BIGEYECWPAC,1977,78221,2.48,0.173
BIGEYECWPAC,1978,61102,2.56,0.15
BIGEYECWPAC,1979,68039,2.51,0.196
BIGEYECWPAC,1980,68051,2.3,0.184
BIGEYECWPAC,1981,62093,2.07,0.183
BIGEYECWPAC,1982,74048,2.06,0.198
BIGEYECWPAC,1983,78998,2.15,0.233
BIGEYECWPAC,1984,84188,2.32,0.247
BIGEYECWPAC,1985,84333,2.34,0.255
BIGEYECWPAC,1986,101300,2.22,0.254
BIGEYECWPAC,1987,105294,2.25,0.284
BIGEYECWPAC,1988,92649,2.22,0.255
BIGEYECWPAC,1989,100824,2.27,0.29
BIGEYECWPAC,1990,124342,2.39,0.365
BIGEYECWPAC,1991,107727,2.41,0.359
BIGEYECWPAC,1992,131196,2.37,0.374
BIGEYECWPAC,1993,113424,2.3,0.306
BIGEYECWPAC,1994,124623,2.25,0.389
BIGEYECWPAC,1995,110376,2.14,0.383
BIGEYECWPAC,1996,107153,2.13,0.424
BIGEYECWPAC,1997,133740,2.25,0.529
BIGEYECWPAC,1998,152607,2.19,0.679
BIGEYECWPAC,1999,163186,2.12,0.555
BIGEYECWPAC,2000,149248,2,0.529
BIGEYECWPAC,2001,135601,1.92,0.503
BIGEYECWPAC,2002,158936,2.01,0.62
BIGEYECWPAC,2003,143931,1.98,0.555
BIGEYECWPAC,2004,182945,1.96,0.772
BIGEYECWPAC,2005,155709,1.79,0.582
BIGEYECWPAC,2006,165069,1.8,0.635
BIGEYECWPAC,2007,165153,1.77,0.598
BIGEYECWPAC,2008,171318,1.71,0.614
BIGEYECWPAC,2009,169168,1.63,0.688
BIGEYECWPAC,2010,"139,927",1.52,0.617
BIGEYECWPAC,2011,"168,273",1.56,0.677
BIGEYECWPAC,2012,"167,341",1.49,0.648
BIGEYECWPAC,2013,"154,882",1.48,0.564
BIGEYECWPAC,2014,"169,029",1.62,0.581
BIGEYECWPAC,2015,"145,722",1.633,0.626
BIGEYECWPAC,2016,"156,681",1.71,0.683
BIGEYECWPAC,2017,"130,535",1.78,0.74
BIGEYECWPAC,2018,"151,569",1.7,NA
BIGEYECWPAC,2019,"131,193",NA,NA
BIGEYECWPAC,2020,"148,371",NA,NA
BIGEYEIO,1950,21.2,NA,NA
BIGEYEIO,1951,45.5,NA,NA
BIGEYEIO,1952,321,NA,NA
BIGEYEIO,1953,1700,NA,NA
BIGEYEIO,1954,6900,NA,NA
BIGEYEIO,1955,9800,NA,NA
BIGEYEIO,1956,12900,NA,NA
BIGEYEIO,1957,12200,NA,NA
BIGEYEIO,1958,11900,NA,NA
BIGEYEIO,1959,10100,NA,NA
BIGEYEIO,1960,16400,NA,NA
BIGEYEIO,1961,15200,NA,NA
BIGEYEIO,1962,18900,NA,NA
BIGEYEIO,1963,13800,NA,NA
BIGEYEIO,1964,18300,NA,NA
BIGEYEIO,1965,19500,NA,NA
BIGEYEIO,1966,24100,NA,NA
BIGEYEIO,1967,24900,NA,NA
BIGEYEIO,1968,37500,NA,NA
BIGEYEIO,1969,29500,NA,NA
BIGEYEIO,1970,25700,NA,NA
BIGEYEIO,1971,21100,NA,NA
BIGEYEIO,1972,18700,NA,NA
BIGEYEIO,1973,16500,NA,NA
BIGEYEIO,1974,27200,NA,NA
BIGEYEIO,1975,36600,3.2,0.0571
BIGEYEIO,1976,28500,3.18,0.0466
BIGEYEIO,1977,35200,3.17,0.053
BIGEYEIO,1978,52000,3.14,0.0894
BIGEYEIO,1979,36000,3.11,0.0574
BIGEYEIO,1980,37300,3.1,0.0599
BIGEYEIO,1981,37700,3.09,0.0663
BIGEYEIO,1982,47400,3.07,0.0826
BIGEYEIO,1983,54900,3.04,0.114
BIGEYEIO,1984,50200,3.01,0.15
BIGEYEIO,1985,58500,2.98,0.191
BIGEYEIO,1986,60700,2.95,0.229
BIGEYEIO,1987,68400,2.89,0.253
BIGEYEIO,1988,79800,2.83,0.339
BIGEYEIO,1989,76500,2.7,0.337
BIGEYEIO,1990,79100,2.51,0.286
BIGEYEIO,1991,82400,2.32,0.331
BIGEYEIO,1992,78200,2.25,0.27
BIGEYEIO,1993,109000,2.23,0.339
BIGEYEIO,1994,117000,2.27,0.427
BIGEYEIO,1995,127000,2.27,0.578
BIGEYEIO,1996,137000,2.28,0.629
BIGEYEIO,1997,157000,2.22,0.838
BIGEYEIO,1998,153000,2.03,0.672
BIGEYEIO,1999,162000,1.98,0.9
BIGEYEIO,2000,140000,1.9,0.8
BIGEYEIO,2001,131000,1.8,0.65
BIGEYEIO,2002,150000,1.74,0.73
BIGEYEIO,2003,140000,1.62,0.55
BIGEYEIO,2004,150000,1.59,0.64
BIGEYEIO,2005,138000,1.63,0.64
BIGEYEIO,2006,133000,1.68,0.68
BIGEYEIO,2007,138000,1.66,0.75
BIGEYEIO,2008,122000,1.68,0.69
BIGEYEIO,2009,119000,1.62,0.72
BIGEYEIO,2010,85400,1.58,0.56
BIGEYEIO,2011,94400,1.67,0.58
BIGEYEIO,2012,120000,1.72,0.56
BIGEYEIO,2013,111000,1.72,0.77
BIGEYEIO,2014,90500,1.68,0.62
BIGEYEIO,2015,93800,1.53,0.65
BIGEYEIO,2016,87600,1.42,0.72
BIGEYEIO,2017,90800,1.34,0.76
BIGEYEIO,2018,94900,1.29,1.32
BIGEYEIO,2019,"79,500",NA,NA
BIGEYEIO,2020,"83,498",NA,NA
BLKMARLINIO,1950,48.5,2.58,2.00E-03
BLKMARLINIO,1951,48.4,2.58,2.00E-03
BLKMARLINIO,1952,179,2.57,0.009
BLKMARLINIO,1953,535,2.57,0.026
BLKMARLINIO,1954,876,2.56,0.044
BLKMARLINIO,1955,983,2.56,0.05
BLKMARLINIO,1956,1480,2.55,0.076
